name,taxid,ERR14789322,ERR14789323,ERR14789324,ERR14789325,ERR14789326,ERR14789327,ERR14789328,ERR14789329,ERR14789330,ERR14789331,ERR14789332,ERR14789333,host tax id,host name,realm,kingdom,phylum,class,order,family,genus,species,baltimore_class
                Alehxovirus,2842364,,,,0.07,,,,,,,,,1.0,root,Riboviria,Orthornavirae,Lenarviricota,Leviviricetes,Timlovirales,Steitzviridae,Alehxovirus,Alehxovirus humivicinum,+ssRNA
              Akonivirus,2842540,0.53,0.24,0.36,0.07,0.13,,,,0.2,0.27,0.18,0.29,104336.0,Microbacterium foliorum,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Akonivirus,Akonivirus akoni,,dsDNA
                Cbunavirus,2842586,,0.24,,,,,,,,,,,562.0,Escherichia coli,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Schitoviridae,Cbunavirus,unclassified Cbunavirus,dsDNA
                  Ceceduovirus,2842588,,0.21,,,,,,,,,,,644.0,Aeromonas hydrophila,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Pantevenvirales,Straboviridae,Emmerichvirinae,Ceceduovirus,dsDNA
                Cehakivirus,2842589,,,,0.06,0.05,,,0.34,0.13,0.14,0.2,,1.0,root,Riboviria,Orthornavirae,Lenarviricota,Leviviricetes,Norzivirales,Fiersviridae,Cehakivirus,Cehakivirus limihabitans,+ssRNA
                Dendoorenvirus,2842641,,,,,,,,,,,0.05,,180282.0,Delftia tsuruhatensis,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Schitoviridae,Dendoorenvirus,Dendoorenvirus RG2014,dsDNA
                  Dongdastvirus,2842653,,0.09,,0.05,0.04,,,,0.15,,0.07,,,,,,,,,,,,
                Emesvirus,2842664,,,,0.08,,,,,,,,,331112.0,Escherichia coli HS,Riboviria,Orthornavirae,Lenarviricota,Leviviricetes,Norzivirales,Fiersviridae,Emesvirus,,+ssRNA
                Gihfavirus,2842702,0.81,0.54,,0.37,,,5.8,2.73,0.16,,,0.32,1.0,root,Riboviria,Orthornavirae,Lenarviricota,Leviviricetes,Timlovirales,Steitzviridae,Gihfavirus,Gihfavirus chorovivens,+ssRNA
                Gmuhndevirus,2842706,,,,,,,0.15,0.83,0.3,,,,1.0,root,Riboviria,Orthornavirae,Lenarviricota,Leviviricetes,Norzivirales,Fiersviridae,Gmuhndevirus,Gmuhndevirus pelovivens,+ssRNA
                Hohrdovirus,2842736,,,,0.26,,,,,0.36,0.18,0.31,0.21,1.0,root,Riboviria,Orthornavirae,Lenarviricota,Leviviricetes,Timlovirales,Steitzviridae,Hohrdovirus,Hohrdovirus edaphohabitans,+ssRNA
                Ishugivirus,2842767,,0.1,,0.09,0.04,,,,,0.1,0.05,,1.0,root,Riboviria,Orthornavirae,Lenarviricota,Leviviricetes,Norzivirales,Fiersviridae,Ishugivirus,Ishugivirus pelohabitans,+ssRNA
                Ivolevirus,2842770,,,,,,,,,,,0.07,,1.0,root,Riboviria,Orthornavirae,Lenarviricota,Leviviricetes,Timlovirales,Blumeviridae,Ivolevirus,Ivolevirus faecicola,+ssRNA
                  Kaypoctavirus,2842786,,,,,,,,,,,0.06,,573.0,Klebsiella pneumoniae,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Schitoviridae,Enquatrovirinae,Kaypoctavirus,dsDNA
                Kemicevirus,2842792,,,,0.05,0.04,,,,,,0.11,,1.0,root,Riboviria,Orthornavirae,Lenarviricota,Leviviricetes,Norzivirales,Fiersviridae,Kemicevirus,Kemicevirus caenicola,+ssRNA
              Kenoshavirus,2842796,1.03,,,0.1,0.09,,,,0.17,0.19,0.12,0.34,36822.0,Gordonia rubripertincta,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Kenoshavirus,unclassified Kenoshavirus,,dsDNA
                Kinglevirus,2842802,1.81,7.72,5.65,2.44,0.55,2.78,12.66,5.37,35.49,0.2,0.09,0.72,1.0,root,Riboviria,Orthornavirae,Lenarviricota,Leviviricetes,Timlovirales,Steitzviridae,Kinglevirus,Kinglevirus lutadaptatum,+ssRNA
                Kowinovirus,2842810,,,,,,,,,,,0.06,,1.0,root,Riboviria,Orthornavirae,Lenarviricota,Leviviricetes,Norzivirales,Fiersviridae,Kowinovirus,Kowinovirus pelenecus,+ssRNA
                Mahraivirus,2842846,,,,,,,,0.37,0.15,,,,1.0,root,Riboviria,Orthornavirae,Lenarviricota,Leviviricetes,Norzivirales,Fiersviridae,Mahraivirus,Mahraivirus limivicinum,+ssRNA
                Mekintivirus,2842861,,,,0.15,,,,,,,,,1.0,root,Riboviria,Orthornavirae,Lenarviricota,Leviviricetes,Norzivirales,Fiersviridae,Mekintivirus,Mekintivirus lutihabitans,+ssRNA
                Mooreparkvirus,2842881,,,,,0.04,,,,,,,,1578.0,Lactobacillus,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Herelleviridae,Mooreparkvirus,Mooreparkvirus Lb3381,dsDNA
              Mydovirus,2842888,,,,,,,,,,,0.06,,562.0,Escherichia coli,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Mydovirus,unclassified Mydovirus,,dsDNA
                Paundecimvirus,2842942,,0.95,,,,,,,,,,,287.0,Pseudomonas aeruginosa,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Zobellviridae,Paundecimvirus,unclassified Paundecimvirus,dsDNA
                Paysduvirus,2842943,,0.08,,0.07,0.05,,0.88,1.69,3.03,0.28,0.66,0.29,1.0,root,Riboviria,Orthornavirae,Lenarviricota,Leviviricetes,Norzivirales,Fiersviridae,Paysduvirus,Paysduvirus asiocola,+ssRNA
                Pokkenvirus,2842972,,,,,0.03,,,,,0.12,0.05,,40324.0,Stenotrophomonas maltophilia,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Schitoviridae,Pokkenvirus,Pokkenvirus paxi,dsDNA
                  Pollockvirus,2842973,,,,,,,,,1.22,,,,562.0,Escherichia coli,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Schitoviridae,Humphriesvirinae,Pollockvirus,dsDNA
              Secretariatvirus,2843027,,,,,,,,,,,0.05,,36822.0,Gordonia rubripertincta,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Secretariatvirus,Secretariatvirus secretariat,,dsDNA
                Sholavirus,2843039,,,,,,,,,0.16,0.1,0.1,,1.0,root,Riboviria,Orthornavirae,Lenarviricota,Leviviricetes,Norzivirales,Fiersviridae,Sholavirus,unclassified Sholavirus,+ssRNA
                  Siovirus,2843048,,0.13,,,,,,,,,,,1397108.0,Celeribacter marinus,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Zobellviridae,Cobavirinae,Siovirus,dsDNA
              Tanisvirus,2843069,,,,,,,,,,,0.12,,36822.0,Gordonia rubripertincta,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Tanisvirus,unclassified Tanisvirus,,dsDNA
              Tinytimothyvirus,2843096,0.44,0.14,,,0.08,,,,0.16,0.13,0.15,0.2,104336.0,Microbacterium foliorum,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Tinytimothyvirus,Tinytimothyvirus alex44,,dsDNA
                Zurivirus,2843162,,0.12,,,,,,,,,,,303.0,Pseudomonas putida,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Schitoviridae,Zurivirus,Zurivirus zuri,dsDNA
              Astrithrvirus,2843350,,,,0.04,,,,,,0.12,0.16,,469.0,Acinetobacter,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Astrithrvirus,unclassified Astrithrvirus,,dsDNA
              Audreyjarvisvirus,2843351,,,,0.06,0.05,,,,,,0.14,,1358.0,Lactococcus lactis,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Audreyjarvisvirus,Audreyjarvisvirus av949,,dsDNA
              Burrovirus,2843362,1.41,0.77,0.48,0.29,0.75,1.68,0.39,1.35,1.77,0.98,1.25,2.0,104336.0,Microbacterium foliorum,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Burrovirus,Burrovirus araxxi,,dsDNA
              Fremauxvirus,2843383,,,,,,,,,,,0.1,,1358.0,Lactococcus lactis,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Fremauxvirus,Fremauxvirus fv1706,,dsDNA
              Klausavirus,2843401,,,,,,0.55,0.46,0.92,0.34,,,,1667.0,Arthrobacter sp.,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Klausavirus,Klausavirus princesstrina,,dsDNA
              Lillamyvirus,2843418,,0.24,,0.11,0.03,,,,0.43,,,,2654243.0,Flavobacterium sp. LMO6,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Lillamyvirus,Lillamyvirus hemulen,,dsDNA
              Muldoonvirus,2843425,0.18,,,,0.04,,,,,,,,413497.0,Cronobacter dublinensis,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Muldoonvirus,unclassified Muldoonvirus,,dsDNA
              Muminvirus,2843426,,,,0.15,0.19,,,,0.62,,,,2654245.0,Flavobacterium sp. LMO9,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Muminvirus,Muminvirus filifjonk,,dsDNA
              Nevevirus,2843430,,,,,,,,,,,0.06,,1358.0,Lactococcus lactis,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Nevevirus,Nevevirus P078,,dsDNA
              Parlovirus,2843433,,,,,,,,,,,0.05,,615.0,Serratia marcescens,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Parlovirus,Parlovirus parlo,,dsDNA
              Plateaulakevirus,2843436,,,,0.09,0.09,,,,0.7,0.32,0.21,0.4,196023.0,Aeromonas hydrophila subsp. hydrophila,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Plateaulakevirus,Plateaulakevirus pv2L372D,,dsDNA
              Predatorvirus,2843439,0.48,,,,0.03,,,,,,,,1763.0,Mycobacterium,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Predatorvirus,Predatorvirus predator,,dsDNA
                  Akihdevirus,2942978,0.28,,,,,,,,,,,,76594.0,Cellulophaga baltica,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Crassvirales,Steigviridae,Asinivirinae,Akihdevirus,dsDNA
                  Kahnovirus,2942979,0.16,0.16,,0.26,0.22,0.45,0.26,,0.4,0.82,0.38,0.57,,,,,,,,,,,
                  Kehishuvirus,2942980,0.21,0.09,,0.45,0.14,,0.23,0.31,0.47,1.78,0.75,0.36,329854.0,Bacteroides intestinalis,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Crassvirales,Steigviridae,Asinivirinae,Kehishuvirus,dsDNA
                  Paundivirus,2942981,,,,0.06,0.06,,,,,0.35,0.15,,1.0,root,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Crassvirales,Steigviridae,Asinivirinae,Paundivirus,dsDNA
                  Afonbuvirus,2942989,0.6,0.45,0.45,0.63,0.61,1.79,0.46,1.04,0.82,1.17,0.63,0.83,1.0,root,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Crassvirales,Suoliviridae,Bearivirinae,Afonbuvirus,dsDNA
                  Canhaevirus,2942990,0.37,0.16,0.41,0.2,0.29,0.79,0.21,0.37,0.47,0.35,0.32,0.4,1.0,root,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Crassvirales,Suoliviridae,Boorivirinae,Canhaevirus,dsDNA
                  Cohcovirus,2942991,0.44,0.29,0.4,0.33,0.4,0.93,0.24,,0.64,0.74,0.38,0.38,,,,,,,,,,,
                  Culoivirus,2942992,,0.1,,0.13,0.13,0.34,,,,0.2,0.18,,818.0,Bacteroides thetaiotaomicron,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Crassvirales,Suoliviridae,Boorivirinae,Culoivirus,dsDNA
                  Blohavirus,2942993,0.53,0.28,,0.46,0.46,0.74,0.32,0.47,0.53,0.84,0.46,0.6,,,,,,,,,,,
                  Buchavirus,2942994,1.05,0.26,,0.32,0.34,0.69,0.22,0.52,0.46,0.69,0.46,0.52,1.0,root,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Crassvirales,Suoliviridae,Loutivirinae,Buchavirus,dsDNA
                Salvovirus,2943016,0.29,0.29,0.48,0.21,0.42,1.07,0.22,0.77,0.7,0.52,0.54,1.09,33013.0,Clavibacter michiganensis subsp. michiganensis,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Casjensviridae,Salvovirus,unclassified Salvovirus,dsDNA
                Sharonstreetvirus,2943019,,,,0.04,,,,,,,,,644.0,Aeromonas hydrophila,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Casjensviridae,Sharonstreetvirus,unclassified Sharonstreetvirus,dsDNA
                  Aurodevirus,2946811,0.37,0.44,0.51,0.68,0.71,1.54,0.6,0.75,0.87,1.27,0.79,1.11,1.0,root,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Crassvirales,Suoliviridae,Uncouvirinae,Aurodevirus,dsDNA
                  Besingivirus,2946821,,,,,0.03,,,,0.21,,0.07,,,,,,,,,,,,
                  Birpovirus,2946830,0.27,0.19,,0.27,0.29,0.89,0.23,0.44,0.51,0.53,0.36,0.44,,,,,,,,,,,
                  Bohxovirus,2946832,,,,,,,,,0.15,0.2,,,,,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Crassvirales,Suoliviridae,Oafivirinae,Bohxovirus,dsDNA
                  Buhlduvirus,2948643,,,,,,,,,,0.11,0.05,,,,,,,,,,,,
                  Buorbuivirus,2948644,,0.11,,0.13,0.12,,,,0.14,0.38,0.17,0.38,,,,,,,,,,,
                  Burzaovirus,2948645,3.51,2.88,3.69,6.03,7.13,12.37,4.4,8.04,6.48,11.02,5.76,8.89,1.0,root,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Crassvirales,Suoliviridae,Oafivirinae,Burzaovirus,dsDNA
                  Cacepaovirus,2948646,,,,,,,,,0.54,0.19,0.07,,,,,,,,,,,,
                  Carjivirus,2948652,0.97,1.15,0.99,1.42,1.98,3.92,1.88,2.55,2.84,3.9,2.23,3.73,1869227.0,bacterium,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Crassvirales,Intestiviridae,Crudevirinae,Carjivirus,dsDNA
                Chrysonvirus,2948662,,0.13,,,,,,,,,,,644.0,Aeromonas hydrophila,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Pantevenvirales,Straboviridae,Chrysonvirus,unclassified Chrysonvirus,dsDNA
                  Chuhaivirus,2948663,,,,0.04,,,,,0.42,0.29,0.05,,,,,,,,,,,,
                  Dabirmavirus,2948671,,0.08,,0.09,0.21,,,,0.17,0.29,0.19,0.32,,,,,,,,,,,
                  Diorhovirus,2948680,0.18,0.15,0.33,0.19,0.19,0.55,0.2,,0.42,0.53,0.28,0.52,,,,,,,,,,,
                  Drivevirus,2948684,,,,0.04,0.05,,,,,0.13,0.09,,,,,,,,,,,,
                  Delmidovirus,2948688,,,,0.08,0.1,,,,0.16,0.2,0.12,0.23,818.0,Bacteroides thetaiotaomicron,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Crassvirales,Intestiviridae,Crudevirinae,Delmidovirus,dsDNA
                Efbeekayvirus,2948690,,0.11,,0.04,,,,,,,,,558.0,Erwinia sp.,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Schitoviridae,Efbeekayvirus,unclassified Efbeekayvirus,dsDNA
                  Endlipuvirus,2948697,,,,0.1,0.11,,,,0.2,0.16,0.11,0.17,,,,,,,,,,,
                Exceevirus,2948704,,,,0.08,0.05,,0.29,0.34,0.54,0.13,0.16,,470.0,Acinetobacter baumannii,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Schitoviridae,Exceevirus,Exceevirus Xc38,dsDNA
                  Fohxhuevirus,2948709,0.16,0.16,0.3,0.23,0.38,0.62,0.31,0.43,0.53,0.57,0.41,0.64,,,,,,,,,,,
                Galenevirus,2948714,,,,,,,,,0.42,,,,1129.0,Synechococcus,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Pantevenvirales,Kyanoviridae,Galenevirus,Galenevirus mbcm1,dsDNA
              Harrisonburgvirus,2948755,0.61,,,,,,,,,,,,287.0,Pseudomonas aeruginosa,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Harrisonburgvirus,Harrisonburgvirus persinger,,dsDNA
                  Jahgtovirus,2948767,0.6,0.6,0.45,0.88,1.06,1.96,0.95,1.17,1.36,2.11,1.14,1.64,371601.0,Bacteroides xylanisolvens,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Crassvirales,Intestiviridae,Churivirinae,Jahgtovirus,dsDNA
                  Junduvirus,2948774,,,,12.66,0.13,,,,,0.13,0.1,0.17,818.0,Bacteroides thetaiotaomicron,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Crassvirales,Crevaviridae,Coarsevirinae,Junduvirus,dsDNA
                  Kahucivirus,2948778,,,,0.04,0.04,,,,,,,,1.0,root,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Crassvirales,Crevaviridae,Doltivirinae,Kahucivirus,dsDNA
                  Kingevirus,2948785,0.34,0.6,0.45,0.62,1.0,1.89,0.74,0.83,1.2,1.5,1.11,1.51,818.0,Bacteroides thetaiotaomicron,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Crassvirales,Crevaviridae,Doltivirinae,Kingevirus,dsDNA
                  Kolpuevirus,2948787,,0.14,,0.2,0.11,,,,0.45,0.67,0.32,0.3,818.0,Bacteroides thetaiotaomicron,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Crassvirales,Steigviridae,Asinivirinae,Kolpuevirus,dsDNA
              Kunmingvirus,2948791,0.5,,,,0.04,,,,0.5,0.43,0.18,0.34,948519.0,Aeromonas rivipollensis,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Kunmingvirus,Kunmingvirus kv2D05,,dsDNA
                  Lebriduvirus,2948797,,,,0.04,,,,,,0.13,,,,,,,,,,,,,
                  Mahlunavirus,2948812,,0.09,,0.07,0.09,,,,,0.24,0.12,,,,,,,,,,,,
              Omarvirus,2948847,0.78,,,,,,,,,,,,67384.0,Streptomyces xanthochromogenes,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Omarvirus,Omarvirus amethyst,,dsDNA
                  Pamirivirus,2948854,,,,0.08,0.11,,,,,0.29,0.23,,,,,,,,,,,,
                Pariacacavirus,2948856,,,,,,,,,0.33,,,,553239.0,Vibrio breoganii,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Schitoviridae,Pariacacavirus,Pariacacavirus 1238A,dsDNA
                  Citricivirus,3044688,0.31,,,0.11,,,,,,,,,223852.0,Aphis citricidus,Riboviria,Orthornavirae,Negarnaviricota,Polyploviricotina,Bunyaviricetes,Hareavirales,Phenuiviridae,Citricivirus,-ssRNA
              Hiroshimavirus,3044731,1.29,,,,,,,,,,,,70775.0,Pseudomonas plecoglossicida,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Hiroshimavirus,Hiroshimavirus PPpW3,,dsDNA
                Kratosvirus,3044747,,,,0.07,,,,,,,,,44056.0,Aureococcus anophagefferens,Varidnaviria,Bamfordvirae,Nucleocytoviricota,Megaviricetes,Imitervirales,Schizomimiviridae,Kratosvirus,Kratosvirus quantuckense,
              Mohonavirus,3044767,,,,,,,,,0.4,,,,666.0,Vibrio cholerae,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Mohonavirus,Mohonavirus ICP1,,dsDNA
                Phabiovirus,3044790,,0.41,,,,,,,,,,,294.0,Pseudomonas fluorescens,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Chimalliviridae,Phabiovirus,Phabiovirus phabio,dsDNA
              Purivirus,3044798,3.05,2.54,33.82,,,,0.36,1.13,,,,,294.0,Pseudomonas fluorescens,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Purivirus,Purivirus UFJFPfDIW6,,dsDNA
              Richievirus,3044803,,,,,0.05,,,,,,,,1665.0,Arthrobacter globiformis,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Richievirus,Richievirus auxilium,,dsDNA
              Siaravirus,3044826,0.19,,,,,,,,,,,,40324.0,Stenotrophomonas maltophilia,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Siaravirus,Siaravirus siara,,dsDNA
              Siftrevirus,3044829,,0.43,,,,,,,,,,,52258.0,Streptomyces flavovirens,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Siftrevirus,Siftrevirus SF3,,dsDNA
                Varunavirus,3044852,,,,,,,,,,,0.05,,1219076.0,Vibrio alginolyticus NBRC 15630 = ATCC 17749,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Schitoviridae,Varunavirus,Varunavirus BUCT194,dsDNA
                Xoxocotlavirus,3044858,,0.07,,,,,,,,,,,194963.0,Sinorhizobium americanum,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Schitoviridae,Xoxocotlavirus,Xoxocotlavirus X228B,dsDNA
                  Moumouvirus,3080801,,,,,,,,,0.19,,,,,,,,,,,,,,
              Medeavirus,3152510,,0.15,1.13,,,,,0.65,,,,,323.0,Pseudomonas syringae pv. tomato,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Medeavirus,Medeavirus medea1,,dsDNA
                  Cinvestavvirus,3152598,,,,,,,,,,,0.05,,,,,,,,,,,,
              Readingvirus,3152626,0.19,0.26,1.7,,,,0.29,0.75,,,,,286.0,Pseudomonas,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Readingvirus,Readingvirus MR15,,dsDNA
                  Shenlongvirus,3152898,,0.26,0.57,,,,,,,,,,294.0,Pseudomonas fluorescens,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Vandenendeviridae,Gorskivirinae,Shenlongvirus,dsDNA
              Miecznikowavirus,3152971,0.63,0.99,4.09,,,,0.26,1.41,,,,,2597349.0,Pseudomonas sp. ANT_H14,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Miecznikowavirus,Miecznikowavirus AH14a,,dsDNA
                  Longwangvirus,3153014,,0.09,,0.08,0.1,,,,0.36,0.95,0.37,0.41,654.0,Aeromonas veronii,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Chaseviridae,Nefertitivirinae,Longwangvirus,dsDNA
              Shockervirus,3153082,,0.08,,,0.03,,,,,,0.06,0.21,199592.0,Microbacterium paraoxydans,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Shockervirus,Shockervirus shocker,,dsDNA
                  Baldwinvirus,3153089,,,,,,,3.67,,,,,,,,,,,,,,,,
                Hodnevirus,3153200,,,,,,,,,0.13,0.14,0.1,,1.0,root,Riboviria,Orthornavirae,Lenarviricota,Leviviricetes,Timlovirales,Steitzviridae,unclassified Steitzviridae,Hodnevirus,+ssRNA
                  Risoevirus,3424972,,,,,,,,0.64,,,,,552.0,Erwinia amylovora,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Pantevenvirales,Straboviridae,Tevenvirinae,Risoevirus,dsDNA
                  Margaeryvirus,3425048,,,,,,,,,,0.1,0.09,,199592.0,Microbacterium paraoxydans,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Hodgkinviridae,Margaeryvirus,Margaeryvirus margaery,dsDNA
                Nicoomyvirus,3425078,,0.18,,0.06,,,0.17,9.63,5.9,,,,9606.0,Homo sapiens,Monodnaviria,Shotokuvirae,Cressdnaviricota,Arfiviricetes,Lineavirales,Oomyviridae,Nicoomyvirus,Nicoomyvirus moldensis,
