name,taxid,ERR14789175,ERR14789176,ERR14789177,ERR14789178,ERR14789179,ERR14789182,ERR14789183,ERR14789184,ERR14789185,ERR14789186,ERR14789187,ERR14789188,ERR14789189,ERR14789190,host tax id,host name,realm,kingdom,phylum,class,order,family,genus,species,baltimore_class
                Paysduvirus,2842943,,,,,,,,,0.08,0.05,,,,,1.0,root,Riboviria,Orthornavirae,Lenarviricota,Leviviricetes,Norzivirales,Fiersviridae,Paysduvirus,Paysduvirus asiocola,+ssRNA
                Perrunavirus,2842953,,0.21,,,,,,,,,,,,,286.0,Pseudomonas,Riboviria,Orthornavirae,Lenarviricota,Leviviricetes,Norzivirales,Fiersviridae,Perrunavirus,Perrunavirus olsenii,+ssRNA
                  Pylasvirus,2842993,,,,,,,,0.15,0.19,0.14,0.24,0.17,0.28,,573.0,Klebsiella pneumoniae,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Schitoviridae,Humphriesvirinae,Pylasvirus,dsDNA
                  Sabourvirus,2843014,,,,,,,,,,,,,0.19,0.08,,,,,,,,,,,
                Sholavirus,2843039,,0.18,,,,,,,,,0.11,0.16,0.24,0.09,1.0,root,Riboviria,Orthornavirae,Lenarviricota,Leviviricetes,Norzivirales,Fiersviridae,Sholavirus,unclassified Sholavirus,+ssRNA
                Teciucevirus,2843073,,,,,,,,,,,,,0.18,,1.0,root,Riboviria,Orthornavirae,Lenarviricota,Leviviricetes,Norzivirales,Fiersviridae,Teciucevirus,Teciucevirus pelohabitans,+ssRNA
              Astrithrvirus,2843350,,,,,,,0.04,,0.13,0.07,0.39,0.37,0.46,0.28,469.0,Acinetobacter,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Astrithrvirus,unclassified Astrithrvirus,,dsDNA
              Audreyjarvisvirus,2843351,,0.28,,,,,,0.15,0.46,0.28,3.79,2.5,1.57,0.67,1358.0,Lactococcus lactis,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Audreyjarvisvirus,Audreyjarvisvirus av949,,dsDNA
              Burrovirus,2843362,2.63,1.49,3.66,2.7,3.47,1.53,0.05,1.37,0.61,0.36,1.01,0.54,0.62,0.5,104336.0,Microbacterium foliorum,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Burrovirus,Burrovirus araxxi,,dsDNA
              Klausavirus,2843401,,,,,,,,,,,,,0.14,,1667.0,Arthrobacter sp.,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Klausavirus,Klausavirus princesstrina,,dsDNA
              Lastavirus,2843414,,,,,,,,,,,,,0.15,,573.0,Klebsiella pneumoniae,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Lastavirus,Lastavirus lasta,,dsDNA
              Lillamyvirus,2843418,,,,,,,,,,,,,0.16,0.1,2654243.0,Flavobacterium sp. LMO6,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Lillamyvirus,Lillamyvirus hemulen,,dsDNA
              Muminvirus,2843426,,,,,,,,,,0.26,0.5,0.57,0.53,0.44,2654245.0,Flavobacterium sp. LMO9,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Muminvirus,Muminvirus filifjonk,,dsDNA
              Plateaulakevirus,2843436,,,,,,,,,,,0.13,,0.2,,196023.0,Aeromonas hydrophila subsp. hydrophila,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Plateaulakevirus,Plateaulakevirus pv2L372D,,dsDNA
              Questintvirus,2843441,,,,,,,,,,,0.18,,,,1358.0,Lactococcus lactis,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Questintvirus,unclassified Questintvirus,,dsDNA
              Takahashivirus,2843463,,,,,,,,,,0.05,,,,,224308.0,Bacillus subtilis subsp. subtilis str. 168,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Takahashivirus,Takahashivirus PBS1,,dsDNA
                Yonseivirus,2843478,0.45,0.31,1.9,0.6,0.78,,0.04,0.43,0.21,0.26,0.18,0.16,0.15,0.13,573.0,Klebsiella pneumoniae,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Casjensviridae,Yonseivirus,Yonseivirus N137,dsDNA
                  Kahnovirus,2942979,0.67,0.22,0.62,,0.41,,0.03,0.3,0.57,0.42,0.39,0.34,0.42,0.42,,,,,,,,,,,
                  Kehishuvirus,2942980,2.18,1.27,1.57,1.43,1.99,0.76,0.26,1.56,1.9,2.29,3.53,3.13,2.24,3.15,329854.0,Bacteroides intestinalis,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Crassvirales,Steigviridae,Asinivirinae,Kehishuvirus,dsDNA
                  Paundivirus,2942981,,,,,,,,,0.1,0.05,,,,0.1,1.0,root,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Crassvirales,Steigviridae,Asinivirinae,Paundivirus,dsDNA
                  Wulfhauvirus,2942982,,,,,,,,,,0.06,,,,0.07,226186.0,Bacteroides thetaiotaomicron VPI-5482,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Crassvirales,Steigviridae,Asinivirinae,Wulfhauvirus,dsDNA
                  Afonbuvirus,2942989,,0.32,0.48,0.39,0.61,,0.04,0.23,0.39,0.52,0.78,0.93,0.79,0.81,1.0,root,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Crassvirales,Suoliviridae,Bearivirinae,Afonbuvirus,dsDNA
                  Canhaevirus,2942990,,,,,,,0.02,,0.12,0.14,0.23,0.12,0.19,0.1,1.0,root,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Crassvirales,Suoliviridae,Boorivirinae,Canhaevirus,dsDNA
                  Cohcovirus,2942991,,,,,,,0.02,,0.15,0.13,0.25,0.25,0.19,0.24,,,,,,,,,,,
                  Culoivirus,2942992,,,,,,,,,,0.05,0.12,,,,818.0,Bacteroides thetaiotaomicron,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Crassvirales,Suoliviridae,Boorivirinae,Culoivirus,dsDNA
                  Blohavirus,2942993,,0.25,,,,,0.03,0.26,0.29,0.2,0.57,0.43,0.41,0.36,,,,,,,,,,,
                  Buchavirus,2942994,,,0.48,,0.44,,0.04,0.18,0.38,0.24,0.61,0.48,0.48,0.55,1.0,root,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Crassvirales,Suoliviridae,Loutivirinae,Buchavirus,dsDNA
                Salvovirus,2943016,1.96,1.49,4.95,2.98,2.99,1.91,0.08,1.17,0.59,0.35,0.32,0.36,0.22,0.35,33013.0,Clavibacter michiganensis subsp. michiganensis,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Casjensviridae,Salvovirus,unclassified Salvovirus,dsDNA
                Sharonstreetvirus,2943019,0.45,,,,0.48,,,,0.11,0.06,0.11,,,0.11,644.0,Aeromonas hydrophila,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Casjensviridae,Sharonstreetvirus,unclassified Sharonstreetvirus,dsDNA
              Swiduovirus,2944849,,,,,,,0.02,,,0.06,,,,,561.0,Escherichia,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Swiduovirus,Swiduovirus swi2,,dsDNA
                  Aurodevirus,2946811,0.89,0.34,,0.46,0.54,,0.04,0.35,0.33,0.54,0.95,0.79,0.75,0.82,1.0,root,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Crassvirales,Suoliviridae,Uncouvirinae,Aurodevirus,dsDNA
                  Besingivirus,2946821,,,,,,,,,,,0.16,,,0.07,,,,,,,,,,,
                  Birpovirus,2946830,,,,,0.37,,,,0.15,0.14,0.26,0.2,0.26,0.22,,,,,,,,,,,
                  Bohxovirus,2946832,,,,,,,,,0.09,0.06,,,,0.08,,,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Crassvirales,Suoliviridae,Oafivirinae,Bohxovirus,dsDNA
                  Buhlduvirus,2948643,,,,,,,,,,,,,,0.1,,,,,,,,,,,
                  Buorbuivirus,2948644,,,,,,,0.02,0.18,0.23,0.21,0.35,0.23,0.29,0.34,,,,,,,,,,,
                  Burzaovirus,2948645,1.2,0.99,1.71,0.84,1.77,0.76,0.06,1.0,1.28,1.16,2.67,2.4,2.29,1.81,1.0,root,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Crassvirales,Suoliviridae,Oafivirinae,Burzaovirus,dsDNA
                  Carjivirus,2948652,0.71,0.51,1.81,1.09,1.97,1.21,0.04,0.46,0.73,0.89,1.57,1.67,1.44,1.09,1869227.0,bacterium,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Crassvirales,Intestiviridae,Crudevirinae,Carjivirus,dsDNA
                  Chuhaivirus,2948663,,,,,,,,,,0.05,,0.15,,,,,,,,,,,,,
              Deseoctovirus,2948678,,,,,,,0.02,0.17,,0.1,0.13,,0.14,0.13,562.0,Escherichia coli,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Deseoctovirus,Deseoctovirus C1,,dsDNA
                  Drivevirus,2948684,,,,,,,,,,0.06,,,0.14,0.12,,,,,,,,,,,
                Efbeekayvirus,2948690,3.83,1.31,1.24,0.74,1.97,0.7,0.28,1.89,2.56,1.26,3.5,3.81,3.74,1.73,558.0,Erwinia sp.,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Schitoviridae,Efbeekayvirus,unclassified Efbeekayvirus,dsDNA
                  Endlipuvirus,2948697,,,,,,,,,,,,,,0.07,,,,,,,,,,,
                Exceevirus,2948704,,,,,,,,,,0.06,,,,,470.0,Acinetobacter baumannii,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Schitoviridae,Exceevirus,Exceevirus Xc38,dsDNA
                  Jahgtovirus,2948767,,,,,,,,0.16,0.19,0.18,0.3,0.34,0.38,0.21,371601.0,Bacteroides xylanisolvens,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Crassvirales,Intestiviridae,Churivirinae,Jahgtovirus,dsDNA
                Jamesmcgillvirus,2948768,,,,,,,,,0.09,,,,,,287.0,Pseudomonas aeruginosa,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Fredfastierviridae,Jamesmcgillvirus,Jamesmcgillvirus jv119X,dsDNA
              Justusliebigvirus,2948775,,,,,,,,,,,,,,0.09,197.0,Campylobacter jejuni,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Justusliebigvirus,unclassified Justusliebigvirus,,dsDNA
                  Kingevirus,2948785,,,,,,,,,,0.1,,0.2,,0.17,818.0,Bacteroides thetaiotaomicron,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Crassvirales,Crevaviridae,Doltivirinae,Kingevirus,dsDNA
                  Kolpuevirus,2948787,,0.29,0.57,0.46,0.53,,0.05,0.35,0.42,0.36,0.86,0.7,0.49,0.65,818.0,Bacteroides thetaiotaomicron,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Crassvirales,Steigviridae,Asinivirinae,Kolpuevirus,dsDNA
              Kunmingvirus,2948791,0.57,,,,,,,,,,0.35,0.28,1.05,0.27,948519.0,Aeromonas rivipollensis,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Kunmingvirus,Kunmingvirus kv2D05,,dsDNA
                  Lahndsivirus,2948793,,,,,,,,,,0.05,,,,,,,,,,,,,,,
                  Lebriduvirus,2948797,,,,,,,0.02,,0.08,0.13,0.22,0.19,,0.1,,,,,,,,,,,
                  Mahlunavirus,2948812,,,,,,,,,,0.07,,,,0.09,,,,,,,,,,,
                  Mahstovirus,2948813,,,,,,,0.02,,,0.08,0.2,0.12,,0.17,,,,,,,,,,,
              Segzyvirus,2948900,,,,,,,,,,,0.12,,,,90371.0,Salmonella enterica subsp. enterica serovar Typhimurium,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Segzyvirus,Segzyvirus LPSTLL,,dsDNA
              Shuimuvirus,2948906,,,,,,,0.03,,,,,,,,573.0,Klebsiella pneumoniae,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Shuimuvirus,Shuimuvirus IME207,,dsDNA
              Skatevirus,2948910,,0.58,,,,,0.06,0.59,0.38,0.23,0.29,0.3,0.2,0.23,90371.0,Salmonella enterica subsp. enterica serovar Typhimurium,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Skatevirus,unclassified Skatevirus,,dsDNA
                Triduovirus,2948933,1.34,0.62,0.71,,0.37,,0.09,0.65,0.79,0.51,1.06,0.93,0.73,0.81,211968.0,Salmonella enterica subsp. enterica serovar Albany,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Schitoviridae,Triduovirus,Triduovirus Tr2,dsDNA
                Valinorvirus,2948943,,,,,,,0.06,0.21,0.19,0.18,0.18,,0.18,0.22,,,Monodnaviria,Shotokuvirae,Cressdnaviricota,Arfiviricetes,Rohanvirales,Nenyaviridae,Valinorvirus,,
              Axeltriavirus,3044667,,,0.48,,,,,0.15,,,,,,,40324.0,Stenotrophomonas maltophilia,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Axeltriavirus,Axeltriavirus AXL3,,dsDNA
              Cobrasixvirus,3044690,0.76,0.36,1.17,,0.48,,0.03,0.27,0.16,0.07,0.26,0.12,0.28,0.15,550.0,Enterobacter cloacae,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Cobrasixvirus,Cobrasixvirus cobrasix,,dsDNA
                  Moovirus,3044769,,0.19,,,,,0.02,0.14,0.14,0.07,0.53,0.29,0.53,0.19,623.0,Shigella flexneri,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Schitoviridae,Enquatrovirinae,Moovirus,dsDNA
              Quivirus,3044799,,,,,,,,,0.08,,,,,,1665.0,Arthrobacter globiformis,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Quivirus,Quivirus qui,,dsDNA
              Bimevirus,3152907,,,,,,,,,,,,,0.23,,573.0,Klebsiella pneumoniae,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Bimevirus,Bimevirus bv1611EK21,,dsDNA
              Geezettvirus,3152909,,,,,,,,,,,0.14,,,,573.0,Klebsiella pneumoniae,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Geezettvirus,Geezettvirus geezett,,dsDNA
                  Longwangvirus,3153014,,,,,,,,,,,0.47,0.45,0.84,0.19,654.0,Aeromonas veronii,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Chaseviridae,Nefertitivirinae,Longwangvirus,dsDNA
              Shockervirus,3153082,,,,,,,,,,,,,,0.1,199592.0,Microbacterium paraoxydans,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Shockervirus,Shockervirus shocker,,dsDNA
